mirna,Patient_1,Control_10,Control_11,Patient_13,Patient_14,Patient_15,Patient_16,Patient_17,Patient_18,Patient_2,Control_20,Control_21,Control_22,Patient_25,Patient_26,Patient_27,Patient_28,Patient_29,Patient_3,Patient_30,Control_31,Control_33,Control_34,Control_35,Patient_37,Patient_38,Patient_39,Patient_4,Patient_40,Patient_41,Patient_42,Patient_43,Control_44,Control_45,Control_46,Control_47,Control_49,Patient_5,Control_50,Patient_6,Control_7,Control_9
hsa-miR-136-5p,20,8,0,0,10,6,4,1,12,53,0,1,0,2,4,2,3,12,7,0,0,2,0,0,0,0,1,40,4,0,0,0,0,0,0,0,0,78,0,0,11,0
hsa-miR-137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-138-1-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-138-5p,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-139-3p,180,50,65,377,189,117,119,68,171,941,7,23,25,41,117,77,29,137,441,119,221,78,2,6,50,1,62,787,87,8,95,47,22,4,1,4,5,592,2,240,47,64
hsa-miR-139-5p,503,26,109,602,182,61,102,78,116,2820,5,43,8,35,140,93,37,196,538,138,191,97,2,3,9,1,28,1690,46,4,83,23,9,8,3,0,2,1144,3,201,10,87
hsa-miR-1-3p,15,0,2,1,1,42,2,29,17,84,0,1,0,2,3,9,8,7,42,1,0,62,1,2,0,0,0,28,1,0,0,0,0,2,0,0,0,36,1,5,0,4
hsa-miR-140-3p,8458,648,847,4778,944,886,1229,705,913,12957,38,398,82,572,478,688,700,1035,4831,718,2091,2736,32,91,51,6,125,9640,105,15,389,53,50,37,27,10,29,6433,9,1189,208,1022
hsa-miR-140-5p,149,10,18,78,27,12,32,11,27,167,0,6,0,3,8,9,22,14,49,8,17,61,0,0,0,0,1,203,0,0,0,0,0,3,1,0,0,105,0,16,0,1
hsa-miR-141-3p,1,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-142-3p,154,1,3,16,16,6,15,8,19,190,0,4,0,6,15,30,14,18,44,10,5,33,0,0,0,0,4,254,2,1,18,0,0,0,1,0,0,170,0,15,4,1
hsa-miR-142-5p,312,41,72,193,59,25,59,33,47,363,7,51,8,16,20,44,51,69,98,39,381,305,7,21,2,0,13,569,1,4,0,7,1,1,4,3,0,471,0,30,17,63
hsa-miR-143-3p,2362,44,187,1879,640,223,235,437,471,2663,42,113,10,318,337,312,147,382,1600,152,684,1003,22,26,42,4,162,986,130,25,54,14,16,14,25,0,9,2516,15,427,82,278
hsa-miR-143-5p,13,0,4,0,4,1,3,0,3,10,0,0,0,2,0,1,0,1,6,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,0
hsa-miR-144-3p,54,29,24,15,164,45,29,24,61,73,6,14,2,13,27,56,166,77,32,32,287,615,7,18,9,0,8,51,5,0,1,21,4,3,1,2,0,58,0,67,19,34
hsa-miR-144-5p,1,0,3,0,19,2,8,1,0,5,0,0,0,1,4,7,3,13,0,1,17,37,3,3,0,0,0,14,0,0,0,0,0,0,0,0,0,2,0,5,1,1
hsa-miR-145-3p,12,0,1,2,0,0,1,3,2,12,0,0,0,0,0,0,1,1,2,0,16,11,1,0,0,0,0,7,0,0,0,0,1,0,0,0,0,8,0,4,0,5
hsa-miR-145-5p,11,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,1,0,0,0,0
hsa-miR-1468-5p,10,1,4,5,6,4,0,1,0,12,0,2,0,4,1,3,5,5,3,1,23,6,0,0,0,0,0,7,7,0,1,0,0,0,0,0,0,8,0,7,0,4
hsa-miR-146a-3p,0,0,0,49,0,0,0,0,2,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,0,0,0,0
hsa-miR-146a-5p,7825,64,153,3507,712,454,716,395,557,8907,75,168,49,259,331,335,97,503,3237,349,196,268,2,7,67,1,118,9059,131,16,162,69,30,11,3,5,0,2994,9,520,141,264
hsa-miR-146b-3p,32,6,1,2,1,1,0,0,3,42,0,0,0,0,0,5,0,5,22,0,4,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,16,0,11,0,0
hsa-miR-146b-5p,5885,91,271,3400,592,425,570,508,1008,10410,30,91,56,232,407,300,102,486,3064,309,711,909,6,10,16,4,88,9745,188,15,218,36,13,30,8,4,10,4542,7,706,66,323
hsa-miR-147b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
hsa-miR-148a-3p,1341,162,584,1212,346,214,366,161,353,2554,19,162,40,109,280,360,243,342,1076,222,3379,870,15,32,24,2,52,6530,68,6,103,22,4,7,30,12,17,4835,8,388,121,409
hsa-miR-148a-5p,48,3,0,72,8,9,12,8,8,65,0,2,3,6,2,8,0,21,83,9,0,13,0,2,0,0,3,130,0,0,1,3,0,0,0,0,0,115,0,13,2,9
hsa-miR-148b-3p,266,19,68,119,70,23,47,35,71,478,8,23,3,29,53,51,34,49,105,48,117,184,3,6,3,1,5,529,11,2,52,9,3,2,4,7,2,294,1,66,24,54
hsa-miR-148b-5p,11,0,2,4,5,0,0,0,2,12,0,0,0,0,2,0,6,0,4,2,16,3,0,0,0,0,2,8,0,0,0,0,0,0,0,0,1,12,0,0,3,0
hsa-miR-149-5p,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
hsa-miR-150-3p,34,18,13,0,12,7,5,5,5,45,1,20,8,5,1,5,3,14,23,4,45,11,0,1,0,0,1,21,3,0,4,1,0,0,0,0,0,4,0,22,5,30
hsa-miR-150-5p,2545,38,180,267,136,99,178,44,70,7046,9,87,11,44,34,57,58,140,807,108,267,104,3,13,12,2,11,1097,34,1,14,11,20,2,2,1,2,233,1,155,17,198
hsa-miR-151a-3p,13428,254,276,8970,1313,1227,1342,1038,1197,22720,97,258,87,644,834,1373,365,1598,5995,1115,2500,701,21,35,34,7,170,17502,165,26,484,101,50,35,17,13,22,13342,4,1228,328,884
hsa-miR-151a-5p,964,4,17,331,187,66,100,139,85,1641,6,15,4,68,137,147,15,162,309,74,26,17,1,3,11,1,25,1127,26,14,93,15,17,5,0,2,3,676,1,125,6,28
hsa-miR-151b,235,0,7,56,33,14,33,16,9,224,0,4,1,10,4,5,1,10,88,21,22,6,0,0,2,0,3,65,4,0,3,0,0,0,1,0,0,13,0,28,3,7
hsa-miR-152-3p,90,3,2,97,30,6,27,9,23,105,0,5,0,8,12,8,3,14,45,8,17,11,0,2,0,0,2,163,0,0,14,0,1,0,0,0,0,91,0,3,1,3
hsa-miR-152-5p,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1538,0,0,0,8,0,0,0,0,3,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
hsa-miR-154-3p,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-154-5p,2,0,0,0,0,1,0,0,0,2,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
hsa-miR-155-5p,117,0,5,45,14,4,12,22,23,259,0,0,0,13,14,26,5,6,39,16,33,8,2,2,0,0,7,191,8,0,22,1,24,4,0,0,0,67,2,6,1,3
hsa-miR-15a-5p,5,0,1,0,10,0,2,9,0,28,0,0,1,0,1,8,6,8,5,1,21,31,1,0,0,0,0,5,0,0,0,0,1,0,0,0,3,16,0,6,1,0
hsa-miR-15b-3p,39,2,9,35,11,7,5,11,1,48,0,3,1,2,2,5,12,5,15,1,22,16,1,0,0,0,0,98,5,0,0,2,2,1,0,0,0,48,0,0,3,2
hsa-miR-15b-5p,30,0,5,11,7,0,10,2,2,63,0,6,0,4,2,3,7,4,7,13,15,24,0,2,4,0,1,29,0,1,0,1,0,0,0,0,0,18,0,4,11,0
hsa-miR-16-1-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
hsa-miR-16-2-3p,761,192,347,547,533,408,444,186,246,1021,23,189,48,156,121,330,756,469,383,417,1245,2607,34,141,69,8,52,2043,46,18,53,38,29,21,113,26,77,1348,7,311,220,287
hsa-miR-16-5p,342,36,43,149,66,73,56,33,64,563,2,63,6,28,23,69,177,110,140,59,442,420,3,19,12,1,3,479,20,2,23,26,6,3,22,5,2,242,0,51,21,47
hsa-miR-17-3p,2,0,0,0,0,0,7,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0
hsa-miR-17-5p,160,14,12,69,55,10,36,16,28,280,0,8,1,10,26,44,14,54,69,16,65,134,1,2,15,0,12,231,8,5,11,0,1,1,0,0,0,102,1,52,2,15
hsa-miR-181a-2-3p,131,12,12,109,57,12,28,37,40,324,1,8,11,6,33,43,21,54,98,27,49,42,0,4,2,0,11,195,19,3,37,1,0,1,1,0,7,91,0,30,10,13
hsa-miR-181a-3p,46,0,0,54,3,0,3,9,3,37,0,0,0,0,3,0,0,0,7,1,5,4,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,35,0,0,6,0
hsa-miR-181a-5p,2709,74,283,1793,414,303,467,380,393,3029,19,96,21,209,289,261,158,249,825,270,435,381,7,33,42,3,69,1666,10,4,72,40,9,9,13,3,6,2169,4,372,65,203
hsa-miR-181b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
hsa-miR-181b-5p,208,12,33,219,81,25,26,46,43,276,3,18,3,14,18,16,9,15,97,11,20,18,0,1,0,1,11,204,0,1,12,6,0,0,0,3,1,216,0,55,3,32
hsa-miR-181c-3p,22,0,0,67,1,0,1,1,9,31,1,0,0,0,1,3,0,2,26,4,10,1,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,27,0,2,0,1
hsa-miR-181c-5p,10,0,0,5,4,1,8,0,0,17,1,0,0,1,0,0,0,0,17,2,0,0,0,1,0,0,0,45,0,0,0,0,0,0,0,0,0,9,0,0,0,0
hsa-miR-181d-5p,45,0,7,54,22,15,20,20,9,87,1,0,0,6,1,1,13,0,28,5,2,14,0,0,0,0,1,119,2,0,11,0,0,1,0,0,0,36,0,23,1,0
hsa-miR-182-5p,123,1,7,76,19,19,8,24,37,199,0,4,0,11,8,27,37,31,23,16,229,84,2,2,0,0,1,119,17,0,2,4,0,0,3,0,2,62,0,12,1,21
hsa-miR-1827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-183-3p,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
hsa-miR-183-5p,29,10,61,30,102,25,83,118,113,133,2,32,4,65,36,190,325,159,63,147,707,546,8,14,20,1,28,107,5,1,12,6,12,6,8,6,9,33,3,41,11,72
hsa-miR-184,1,0,5,5,6,9,12,21,15,8,0,2,0,15,3,11,24,18,0,8,39,25,1,1,0,0,10,0,0,0,5,6,0,1,0,1,0,4,2,10,9,9
hsa-miR-185-3p,138,3,4,63,12,9,23,10,17,138,1,7,0,8,8,33,11,30,69,9,54,22,1,0,0,0,11,84,4,0,7,0,0,0,5,0,0,86,0,4,7,5
hsa-miR-185-5p,1889,569,632,614,743,1041,876,268,491,1613,106,228,67,176,270,902,774,937,1544,420,2588,5785,41,98,19,8,28,1660,30,9,113,71,31,15,41,20,60,1297,10,721,364,613
hsa-miR-186-5p,786,51,85,368,148,84,164,50,116,921,7,52,7,77,60,94,170,225,341,140,374,726,11,15,0,0,7,1095,18,1,25,9,14,4,8,2,23,528,1,103,19,118
hsa-miR-187-3p,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-188-5p,0,4,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-18a-3p,12,2,0,13,6,4,5,5,6,38,0,0,0,2,3,3,10,6,10,1,21,18,0,3,0,0,0,5,0,0,0,0,0,0,0,0,1,8,0,8,0,0
hsa-miR-18a-5p,37,11,12,33,5,12,7,2,12,73,0,1,0,3,6,4,7,13,28,5,7,22,0,0,0,0,0,62,2,0,0,0,0,0,0,0,0,35,0,4,0,0
hsa-miR-18b-3p,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0
hsa-miR-18b-5p,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1908-5p,38,11,10,67,11,3,8,3,6,41,0,3,2,1,6,6,9,7,44,1,25,5,0,0,0,0,5,28,3,0,11,3,6,3,0,0,0,52,1,13,4,6
hsa-miR-190a-5p,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-190b,0,0,0,1,1,0,0,1,0,5,0,0,0,0,0,2,3,0,0,1,2,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,6,0,0,0,0
hsa-miR-191-3p,23,1,0,10,10,1,1,0,4,44,0,2,0,2,1,4,0,2,38,4,0,2,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,24,0,0,5,16
hsa-miR-1914-5p,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0
hsa-miR-191-5p,21197,284,308,9649,2494,1687,2213,1143,1617,34550,101,307,132,1030,1092,1411,581,1951,10091,1613,1195,1286,15,53,154,11,317,20125,225,29,666,167,128,51,20,20,29,13574,23,2615,196,376
hsa-miR-192-5p,433,151,600,291,471,206,315,154,703,587,37,140,28,123,138,167,225,479,277,194,908,1665,18,46,32,4,41,643,39,1,4,10,20,8,20,3,17,511,9,359,94,470
hsa-miR-193a-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-193a-5p,45,42,289,31,97,32,55,20,58,48,4,20,19,22,29,45,20,95,55,23,160,87,3,3,4,0,2,23,12,11,17,18,1,0,10,7,6,50,0,143,44,122
hsa-miR-193b-3p,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11
hsa-miR-193b-5p,5,11,85,0,15,0,10,4,21,2,1,0,10,3,5,3,1,9,4,6,17,14,1,0,4,0,3,3,1,8,0,5,13,0,1,0,0,8,0,35,13,51
hsa-miR-194-3p,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0
hsa-miR-194-5p,7,1,20,0,5,2,0,0,11,18,0,1,0,0,0,1,13,7,5,3,116,12,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,13,0,0,2,4
hsa-miR-195-3p,3,0,10,0,2,4,0,1,0,5,0,0,0,0,0,0,0,1,1,0,9,3,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,3,5,0,3
hsa-miR-195-5p,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,8,0,0,6,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1
hsa-miR-196a-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-196b-5p,9,0,1,15,0,0,3,1,0,4,0,0,0,0,0,5,1,3,3,0,0,14,0,0,0,0,0,5,0,0,8,0,0,0,3,0,0,1,0,0,0,0
hsa-miR-197-3p,81,15,9,94,33,69,26,22,35,272,0,9,0,20,10,18,5,29,58,12,85,25,1,2,9,1,38,84,26,3,39,19,1,1,2,0,2,70,0,65,0,31
hsa-miR-197-5p,3,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,5,0,4,0,0,0,0,0,0,0,0,0
hsa-miR-1976,1,1,2,0,0,2,0,0,3,2,0,0,0,1,0,0,0,1,0,0,5,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9
hsa-miR-199a-3p,395,6,7,171,41,28,21,21,66,978,11,8,2,23,76,41,19,24,247,23,20,37,0,3,0,0,23,436,21,3,22,5,2,4,0,0,0,360,6,37,7,25
hsa-miR-199a-5p,1281,21,6,638,128,81,111,38,57,1798,7,12,4,41,88,62,3,53,729,43,16,35,1,0,15,0,4,1352,4,0,19,9,0,2,0,0,2,1001,0,74,22,11
hsa-miR-199b-3p,185,1,7,180,56,25,19,7,6,136,5,5,0,10,4,17,6,39,44,23,25,14,1,0,0,0,44,210,6,0,12,0,2,1,0,0,0,277,0,22,5,17
hsa-miR-199b-5p,16,0,0,16,1,0,0,1,1,17,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,4,0,0,0,0,2,1,0,0,0,11,0,0,0,0
hsa-miR-19a-3p,76,15,39,105,35,14,25,9,19,121,1,16,0,9,15,15,24,28,56,11,5,187,0,3,0,0,2,212,5,0,0,1,1,0,1,3,7,91,0,29,10,13
hsa-miR-19b-3p,298,46,58,95,91,88,69,31,59,371,3,42,8,34,45,49,63,57,164,38,131,454,3,3,1,1,12,557,4,0,0,2,3,2,2,0,0,270,0,47,24,110
hsa-miR-200a-3p,2,0,6,0,0,1,0,0,2,9,0,0,0,0,0,0,3,7,10,1,16,9,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,16,0,0,4,1
hsa-miR-200a-5p,2,0,2,12,0,0,0,0,3,0,0,0,0,0,1,0,0,3,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
hsa-miR-200b-3p,41,0,0,15,1,0,0,4,8,38,0,4,0,5,1,9,3,8,11,7,6,5,0,0,0,0,1,38,2,0,5,0,6,0,0,0,0,14,0,8,0,0
hsa-miR-200b-5p,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-200c-3p,127,0,6,49,8,20,14,16,12,140,0,10,0,11,8,12,8,24,24,12,4,11,0,0,0,0,0,66,2,0,6,4,0,0,2,1,0,33,0,1,0,22
hsa-miR-202-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13
hsa-miR-203a-3p,1,0,1,3,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
hsa-miR-203b-5p,1,0,1,8,0,0,0,2,0,0,0,4,0,0,0,0,0,1,1,0,1,4,0,2,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-204-3p,1,0,6,0,5,7,0,1,2,2,0,2,0,1,0,3,0,7,1,1,11,8,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,0,3,4,15
hsa-miR-204-5p,1,0,2,0,1,0,2,1,3,5,0,3,0,7,0,0,0,7,0,2,4,16,0,0,0,0,1,4,0,0,0,3,0,0,0,0,0,17,0,7,0,0
hsa-miR-205-5p,0,0,12,0,2,0,0,1,1,5,0,1,0,3,4,0,2,6,3,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,4
hsa-miR-206,3,2,2,5,6,28,9,27,12,4,5,28,3,2,20,12,94,13,7,8,25,55,3,1,5,1,0,8,0,1,1,1,8,0,0,0,0,0,0,51,0,46
hsa-miR-20a-5p,648,58,87,367,124,144,118,75,120,769,4,64,1,56,115,138,174,246,225,97,310,796,5,10,7,2,56,1078,37,1,29,9,11,3,10,4,14,473,4,93,7,103
hsa-miR-20b-5p,9,7,11,3,19,4,13,3,13,38,0,6,0,8,5,9,10,31,4,9,69,52,0,1,0,0,0,40,2,0,0,0,0,1,0,0,0,22,0,12,2,31
hsa-miR-210-3p,34,1,10,51,12,9,11,3,9,44,6,10,0,0,9,4,16,12,40,6,58,5,0,0,0,1,0,56,0,1,28,1,0,1,0,0,0,77,1,12,1,36
hsa-miR-210-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-2110,115,23,38,165,52,121,105,40,65,217,13,42,20,53,20,67,41,89,137,69,226,102,2,5,2,0,23,155,23,2,63,13,0,4,6,3,7,134,0,90,36,74
hsa-miR-2115-3p,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-2115-5p,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
hsa-miR-211-5p,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
hsa-miR-2116-3p,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
hsa-miR-212-5p,1,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0
hsa-miR-21-3p,29,1,1,35,11,2,1,2,1,29,0,0,0,3,1,2,0,0,23,1,6,0,0,1,0,0,0,33,0,0,0,0,0,0,0,0,0,30,0,1,3,0
hsa-miR-214-3p,3,0,0,1,0,0,2,2,1,21,0,0,0,0,1,0,0,1,8,1,0,4,0,0,3,0,0,12,1,0,0,0,0,0,0,0,0,18,0,0,0,0
hsa-miR-214-5p,2,1,1,30,0,1,2,1,5,12,1,0,0,2,1,0,0,4,0,0,0,0,0,0,0,0,0,15,0,0,3,0,0,0,0,0,0,4,0,5,0,0
hsa-miR-215-5p,10,17,23,2,5,2,3,10,40,11,2,8,5,2,0,1,9,23,3,3,63,61,0,0,2,0,2,9,0,1,0,0,1,0,0,1,0,11,0,19,7,21
